Date,EM710.MI
2023-03-24,158.1699981689453
2023-03-27,157.1199951171875
2023-03-28,156.47000122070312
2023-03-29,156.32000732421875
2023-03-30,155.47000122070312
2023-03-31,156.49000549316406
2023-04-03,157.05999755859375
2023-04-04,156.77000427246094
2023-04-05,157.77000427246094
2023-04-06,157.75
2023-04-11,156.3300018310547
2023-04-12,155.5800018310547
2023-04-13,155.52000427246094
2023-04-14,154.8000030517578
2023-04-17,154.44000244140625
2023-04-18,154.50999450683594
2023-04-19,154.02999877929688
2023-04-20,154.6699981689453
2023-04-21,154.2100067138672
2023-04-24,154.1300048828125
2023-04-25,155.39999389648438
2023-04-26,155.4199981689453
2023-04-27,154.58999633789062
2023-04-28,156.3000030517578
2023-05-02,156.7899932861328
2023-05-03,156.99000549316406
2023-05-04,157.5
2023-05-05,156.5399932861328
2023-05-08,156.10000610351562
2023-05-09,155.86000061035156
2023-05-10,156.50999450683594
2023-05-11,157.4199981689453
2023-05-12,156.86000061035156
2023-05-15,156.47999572753906
2023-05-16,155.97000122070312
2023-05-17,156.14999389648438
2023-05-18,154.86000061035156
2023-05-19,155.27999877929688
2023-05-22,154.8699951171875
2023-05-23,154.72000122070312
2023-05-24,154.77000427246094
2023-05-25,154.38999938964844
2023-05-26,153.9600067138672
2023-05-29,155.16000366210938
2023-05-30,156.38999938964844
2023-05-31,157.2100067138672
2023-06-01,157.2100067138672
2023-06-02,157.36000061035156
2023-06-05,156.5500030517578
2023-06-06,156.57000732421875
2023-06-07,155.61000061035156
2023-06-08,156.02000427246094
2023-06-09,156.67999267578125
2023-06-12,156.9600067138672
2023-06-13,156.4600067138672
2023-06-14,156.19000244140625
2023-06-15,155.52999877929688
2023-06-16,156.22999572753906
2023-06-19,155.44000244140625
2023-06-20,156.66000366210938
2023-06-21,156.3300018310547
2023-06-22,155.49000549316406
2023-06-23,157.0399932861328
2023-06-26,157.72999572753906
2023-06-27,157.0399932861328
2023-06-28,157.52999877929688
2023-06-29,156.27000427246094
2023-06-30,156.5500030517578
2023-07-03,155.80999755859375
2023-07-04,155.58999633789062
2023-07-05,155.5399932861328
2023-07-06,153.55999755859375
2023-07-07,153.8000030517578
2023-07-10,153.64999389648438
2023-07-11,153.3800048828125
2023-07-12,154.6699981689453
2023-07-13,155.88999938964844
2023-07-14,155.61000061035156
2023-07-17,155.82000732421875
2023-07-18,157.32000732421875
2023-07-19,156.64999389648438
2023-07-20,156.14999389648438
2023-07-21,156.5
2023-07-24,157.00999450683594
2023-07-25,156.74000549316406
2023-07-26,156.10000610351562
2023-07-27,156.52000427246094
2023-07-28,156.3000030517578
2023-07-31,156.3000030517578
2023-08-01,155.50999450683594
2023-08-02,155.6199951171875
2023-08-03,155.14999389648438
2023-08-04,155.4499969482422
2023-08-07,155.13999938964844
2023-08-08,156.57000732421875
2023-08-09,156.27999877929688
2023-08-10,156.02999877929688
2023-08-11,154.9600067138672
2023-08-14,154.6999969482422
2023-08-15,
2023-08-16,154.39999389648438
2023-08-17,153.77000427246094
2023-08-18,154.7100067138672
2023-08-21,153.77000427246094
2023-08-22,154.47000122070312
2023-08-23,156.14999389648438
2023-08-24,156.08999633789062
2023-08-25,155.6999969482422
2023-08-28,155.57000732421875
2023-08-29,156.47000122070312
2023-08-30,156.0399932861328
2023-08-31,156.8800048828125
2023-09-01,156.02999877929688
2023-09-04,155.4600067138672
2023-09-05,155.1300048828125
2023-09-06,154.3000030517578
2023-09-07,155.02000427246094
2023-09-08,155.1999969482422
2023-09-11,154.74000549316406
2023-09-12,154.61000061035156
